"SKU","Product Name","Category","Unit","Wholesale Price (BDT)","Retail Price (BDT)","Our Commission (BDT)","Supplier ID","Seasonal (Y/N)","Typical Stock % (Morning)","Typical Stock % (Evening)"
"SPICE-006","Ginger (Local)","Spices & Dried Goods","kg","160","195","21.45","SUP-006","N","80","20"
"SPICE-007","Cinnamon (Stick)","Spices & Dried Goods","kg","550","650","71.50","SUP-006","N","90","10"
"SPICE-008","Cardamom (Green, Elachi)","Spices & Dried Goods","kg","1400","1650","181.50","SUP-006","N","95","5"
"SPICE-009","Turmeric (Raw/Haldi)","Spices & Dried Goods","kg","140","170","18.70","SUP-006","N","80","20"
"DAIRY-001","Eggs (Farm, Dozen)","Dairy & Eggs","dozen","160","185","20.35","SUP-007","N","70","30"
"DAIRY-002","Milk (Pasteurized 1L)","Dairy & Eggs","litre","95","115","12.65","SUP-007","N","75","25"
"DAIRY-003","Yogurt/Sweet Curd 500g","Dairy & Eggs","piece","70","85","9.35","SUP-007","N","70","30"
"DAIRY-004","Milk Powder (Full Cream 1kg)","Dairy & Eggs","kg","550","640","70.40","SUP-007","N","85","15"
"FRUIT-001","Banana (Shagor Kola)","Fresh Fruits","dozen","90","115","12.65","SUP-008","N","70","30"
"FRUIT-002","Apple (Red, Imported)","Fresh Fruits","kg","220","260","28.60","SUP-008","N","85","15"
"FRUIT-003","Apple (Green, Imported)","Fresh Fruits","kg","200","240","26.40","SUP-008","N","85","15"
"FRUIT-004","Orange (Imported)","Fresh Fruits","kg","195","235","25.85","SUP-008","N","80","20"
"FRUIT-005","Mango (Gopalbhog/Langra)","Fresh Fruits","kg","120","150","16.50","SUP-008","Y","70","30"
"FRUIT-006","Watermelon (Tormuj)","Fresh Fruits","kg","28","38","4.18","SUP-008","Y","65","35"
"FRUIT-007","Papaya (Green/Ful)","Fresh Fruits","piece","45","58","6.38","SUP-008","N","75","25"
"FRUIT-008","Grape (Imported)","Fresh Fruits","kg","280","330","36.30","SUP-008","N","85","15"
"FRUIT-009","Coconut (Dab/Shada)","Fresh Fruits","piece","55","72","7.92","SUP-008","N","80","20"
"BEV-001","Mineral Water (1L)","Beverages","piece","22","30","3.30","SUP-009","N","80","20"
"BEV-002","Soft Drink (Coke/Pepsi 500ml)","Beverages","piece","25","35","3.85","SUP-009","N","75","25"
"BEV-003","Fruit Juice (Pran 250ml)","Beverages","piece","18","25","2.75","SUP-009","N","80","20"
"BEV-004","Energy Drink (Speed/Bison)","Beverages","piece","65","80","8.80","SUP-009","N","70","30"
"SNACK-001","Sugar (White, Packed 1kg)","Snacks & Confectionery","kg","118","138","15.18","SUP-010","N","85","15"
"SNACK-002","Salt (Packed 1kg)","Snacks & Confectionery","kg","30","38","4.18","SUP-010","N","85","15"
"SNACK-003","Biscuits (Cream Pack)","Snacks & Confectionery","piece","55","70","7.70","SUP-010","N","80","20"
"SNACK-004","Potato Chips (25g Pack)","Snacks & Confectionery","piece","18","25","2.75","SUP-010","N","75","25"
"SNACK-005","Noodles (Maggi/Pran 2-pack)","Snacks & Confectionery","piece","28","38","4.18","SUP-010","N","80","20"
"SNACK-006","Tea (Taza/Premium 200g)","Snacks & Confectionery","piece","85","105","11.55","SUP-010","N","85","15"
"SNACK-007","Biscuits (Salty/Saltine Pack)","Snacks & Confectionery","piece","40","52","5.72","SUP-010","N","80","20"
"SNACK-008","Chocolate Bar (25g)","Snacks & Confectionery","piece","30","40","4.40","SUP-010","N","75","25"
